,Summary_NR,Reporting_ID,Event_Date,Event_Time,Classification,event year,Event_Description,Event_Keyword,End_Use,Stories_in_Building,Height_for_Non_Building,Project_Cost,Project_Type,Associated_SICs,Fatality,Related_Inspection_NR,Original classification,Age,Sex,Nature_of_Injury,Part_of_Body,Source_of_Injury,Event_Type,Environmental_Factor,Human_Factor,Occupation_Code,Degree_of_Injury,Task_Assigned,Hazardous_Substance,Operation_Code,Cause_of_Injury,Cause_of_Fatality,Distance_of_Fall,Height_of_Person,Injury_ID,Activity_NR,State_Flag,Name,Address,City,State,Zip,Owner_Type,Owner_Code,Advance_Notice,Safety_Health,SIC,NAICS,Inspection_Type,Inspection_Scope,Why_No_Inspection,Union,Safety_Planning_Guide_Manf,Safety_Planning_Guide_Const,Safety_Planning_Guide_Maritime,Health_Planning_Guide_Manuf,Health_Planning_Guide_Constr,Health_Planning_Guide_Maritime,Migrant,Mailing_Street,Mailing_City,Mailing_State,Mailing_Zip,No__in_Establishment,Open_Date,Case_Mod_Date,Conf_Closed,Case_Closed,total_current_penalty
1,14409932,626600,07-OCT-87 12.00.00.000000 AM,,Process,87,"One killed, one injured when overpressurized joint fails","WORK RULES,BOILER,EQUIPMENT FAILURE,EXPLOSION,HEAT EXCHANGER,ANKLE,HIGH PRESSURE,STRUCK BY",,,,,,"29,111,796",X,2395440,process,33,Male,6,13,6,1,15,1,999,1,1,,0,0,0,,,1,2395440,,AMOCO OIL COMPANY,2401 FIFTH AVENUE SOUTH,TEXAS CITY,TX,77590,Private,0,No,S,2911,0,Accident,Partial,,Yes,,,,,,,,P.O. BOX 401,TEXAS CITY,TX,77592,2100,20-Oct-87,,17-Nov-87,8-Nov-89,400
2,14412035,626600,20-NOV-87 12.00.00.000000 AM,,Process,87,Employee dies of asphyxia from hydrogen sulfide,"ASPHYXIATED,CPR,PPE,HYDROGEN SULFIDE,WORK RULES,INHALATION,GAS,SPILL,CHEMICAL VAPOR,OVEREXPOSURE",,,,,,2911,X,2395887,Process,47,Male,2,28,19,8,7,19,999,1,1,1480,0,0,0,,,1,2395887,,LYONDELL PETROCHEMICAL,1200 LAWNDALE,HOUSTON,TX,77502,Private,0,No,H,2911,0,Accident,Partial,,Yes,,,,,,,,P.O.BOX 2451,HOUSTON,TX,77252,1031,23-Nov-87,,15-Dec-87,21-Mar-90,900
3,14412035,626600,20-NOV-87 12.00.00.000000 AM,,Process,87,Employee dies of asphyxia from hydrogen sulfide,"ASPHYXIATED,CPR,PPE,HYDROGEN SULFIDE,WORK RULES,INHALATION,GAS,SPILL,CHEMICAL VAPOR,OVEREXPOSURE",,,,,,2911,X,2395887,Process,36,Male,2,28,19,8,7,19,999,3,2,1480,0,0,0,,,2,2395887,,LYONDELL PETROCHEMICAL,1200 LAWNDALE,HOUSTON,TX,77502,Private,0,No,H,2911,0,Accident,Partial,,Yes,,,,,,,,P.O.BOX 2451,HOUSTON,TX,77252,1031,23-Nov-87,,15-Dec-87,21-Mar-90,900
4,14317796,317020,28-FEB-90 12.00.00.000000 AM,,Personnel,90,EMPLOYEE KILLED WHEN RUN OVER BY BACKING TRUCK,"BACKING UP,WHEEL,DUMP TRUCK,FALL,STRUCK BY,RUN OVER",,,,,,"421,229,111,629",X,17530940,personnel,40,Male,21,13,29,1,8,1,999,1,1,,0,0,0,,,1,17530940,,STAR ENTERPRISE,2000 WRANGE HILL ROAD,DELAWARE CITY,DE,19706,Private,0,No,S,2911,0,Accident,Partial,,No,,,,,,,,,,,0,640,28-Feb-90,,28-Feb-90,11-Apr-90,
5,14316491,317000,21-MAR-94 01.14.00.000000 PM,,Process,94,Employees injured by sludge when tank explodes,"EXPLOSION,TANK,CONSTRUCTION,WELDING,SLUDGE",,,,,,"2,911,171,117,311,540",X,17710294,process,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,,982,17710294,,"ALLSTATE POWER VAC, INC.",DELAWARE AND GREEN STS.,MARCUS HOOK,PA,19061,Private,0,No,H,2911,0,Accident,Partial,,Yes,,,,,,,,2527 MARKET STREET,TWIN OAKS,PA,19014,850,22-Mar-94,,27-May-94,10-Jun-94,
6,14316491,317000,21-MAR-94 01.14.00.000000 PM,,Process,94,Employees injured by sludge when tank explodes,"EXPLOSION,TANK,CONSTRUCTION,WELDING,SLUDGE",,,,,,"2,911,171,117,311,540",X,17714056,process,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,,987,17714056,,"ALLSTATE POWER VAC, INC.",DELAWARE AND GREEN STS.,MARCUS HOOK,PA,19061,Private,0,No,S,2911,0,Accident,Partial,,Yes,,,,,,,,2527 MARKET STREET,TWIN OAKS,PA,19014,850,22-Mar-94,,29-Jun-94,2-Oct-95,31950
7,170993059,932040,08-OCT-92 09.00.00.000000 PM,,Process,92,Employee involved in explosion and fire at Texaco plant,"FIRE,EXPLOSION",,,,,,2911,,18187948,process,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,18187948,,"TEXACO REFINING AND MARKETING, INC.",2101 E. PACIFIC COAST HIGHWAY,WILMINGTON,CA,90748,Private,0,No,S,2911,0,Accident,Partial,,No,,,,,,,,P.O. BOX 817,WILMINGTON,CA,90748,350,9-Oct-92,,6-Apr-93,28-Sep-93,83500
8,603035,419400,19-APR-91 12.00.00.000000 AM,,Personnel,91,Employee killed in 20 ft fall from ladder,"WORK RULES,LADDER,DESCENDING,FALL,FALL PROTECTION",,,,,,2911,X,18305730,personnel,42,Male,6,13,25,5,13,4,999,1,2,,0,0,0,,,1,18305730,,"CHEVRON USA, INC.","HWY. 611 SOUTH, BAYOU CASOTTE",PASCAGOULA,MS,39568,Private,0,No,H,2911,0,Accident,Partial,,No,,,,X,,,,P. O. BOX 1300,PASCAGOULA,MS,39567,1109,22-Apr-91,,26-Apr-91,30-Aug-91,
9,811414,257220,15-JUN-88 12.00.00.000000 AM,,Process,88,Employees burned by escaping hot water and steam,"COVER,STEAM,BURN,HIGH PRESSURE,HIGH TEMPERATURE,WATER",,,,,,"291,117,991,721",,18689562,process,48,Male,5,3,41,14,15,4,579,3,1,,0,0,0,,,7,18689562,,YABUCOA SUN OIL,"CARR. 901, KM. 2.7, BO. CAMINO NUEVO",YABUCOA,PR,767,Private,0,No,S,2911,0,Accident,Complete,,No,X,,,,,,,P.O.BOX 186,YABUCOA,PR,767,323,16-Jun-88,,15-Jul-88,12-Jul-94,810
10,982199,257260,29-SEP-88 12.00.00.000000 AM,,Process,88,"Employee killed, another injured during pipeline explosion","FIRE,EXPLOSION,PIPELINE,SPILL,GASOLINE,TANK",,,,,,2911,X,18693408,process,43,Male,5,4,35,14,10,20,503,2,2,1340,0,0,0,,,2,18693408,,CARIBBEAN PETROLEUM CORP,CARR 28 ZONA IND LUCHETTI,BAYAMON,PR,961,Private,0,No,S,2911,0,Referral,Partial,,Yes,X,,,,,,,PO BOX 361988,SAN JUAN,PR,936,105,30-Sep-88,14-Dec-07,16-Feb-89,28-Jun-91,3000
